id,title,company,location,created,description,redirect_url,salary_min,salary_max
5214227174,Business Improvement Professional,Rolls-Royce,UK,2025-05-24T12:10:18Z,"Job Description Business Improvement Professional Full time Derby What you will be doing: An outstanding opportunity has arisen for a Business Improvement Professional , to join our successful Aftermarket Operations Business Improvement team in Derby. You will support the Aftermarket Operations business to grow our improvement capacity and capability through the application and coaching of improvement tools and techniques. Working across all aspects of the business, transactional and operationa…",https://www.adzuna.co.uk/jobs/details/5214227174?utm_medium=api&utm_source=3aea9429,37367.01,37367.01
5186828132,Area Sales Manager,Elix Sourcing Solutions,"Wyberton, Boston",2025-05-07T19:51:54Z,"Area Sales Manager South Lincolnshire Commission  Car  Progression  Benefits Package Do you have Sales experience and want product training to sell high value machinery? This is a fantastic role suiting someone who has general product sales experience and fancies joining a new industry? The company are a market leading main dealer group involved in, among other activities, the sales of new and used agricultural machinery ranging from Combines and Tractors to Foragers and Balers. The Role involv…",https://www.adzuna.co.uk/jobs/details/5186828132?utm_medium=api&utm_source=3aea9429,30000,100000
5222762468,Graduate Recruitment Consultant,Daniel Owen Ltd,"Hulme, Manchester",2025-05-30T02:25:26Z,"Are you an ambitious graduate eager to launch yourself into the world of business and sales? Daniel Owen, a recruitment powerhouse for 40 years, is expanding its team in Manchester and we are hiring multiple graduates to start a fantastic career with full training and one of the best benefits packages in the industry. As a Graduate Recruitment Consultant, you'll work alongside established teams, develop invaluable business connections, and gain hands-on experience in a fast-paced, high-reward e…",https://www.adzuna.co.uk/jobs/details/5222762468?utm_medium=api&utm_source=3aea9429,27000,28000
5199782509,Swim Teacher (level 1) - Part Time - Kettering Swimming Pool,Freedom Leisure,"Barton Seagrave, Kettering",2025-05-15T12:02:11Z,"At Freedom Leisure we can offer a friendly working environment that brings lots of variety every day. If you like talking to people, this is definitely the role for you. We understand that engaging with customers and colleagues is not as easy as it sounds and sometimes comes with experience. We will provide all the training needed to be a successful Swim Teacher but we also believe that employing people from a mix of employment backgrounds can offer a wider benefit to our team, some of which mi…",https://www.adzuna.co.uk/jobs/details/5199782509?utm_medium=api&utm_source=3aea9429,27489.92,27489.92
5203726104,Primary Teacher,Monarch Education,"Newton Heath, Manchester",2025-05-17T17:39:50Z,Key Stage 2 Teacher required at a Manchester Primary School (M40) Monarch Education are recruiting on behalf of a 'GOOD' client school in the north Manchester area (M40) for an experienced and dedicated class teacher. This post will be based within Key Stage 2 and will commence in September 2025 on a full-time basis. We are looking for someone who: Has Qualified Teacher Status (QTS) in the UK Has recent experience teaching in Key Stage 2 Is an outstanding classroom practitioner with clear and c…,https://www.adzuna.co.uk/jobs/details/5203726104?utm_medium=api&utm_source=3aea9429,39000,46800
5189153804,Commis Chef,Platinum Recruitment Consultancy,"Paddlelake, Dartmouth",2025-05-08T19:54:59Z,"Role: Commis Chef Location: Dartmouth, Devon Salary / Rate of pay: £12.21 per hour Platinum Recruitment is working in partnership with a hidden gem of a hotel in Devon, just a few minutes' drive from the town of Dartmouth and we have a fantastic opportunity for a Commis Chef to join and support their kitchen team. What's in it for you? Live in accommodation available if required, inclusive of all bills (chargeable) Free meals on duty Free on-site parking Free use of the golf and leisure facilit…",https://www.adzuna.co.uk/jobs/details/5189153804?utm_medium=api&utm_source=3aea9429,0,25396
5221305485,Registered Mental Health Nurse,Jupiter Recruitment,"Earlsheaton, Dewsbury",2025-05-29T08:12:16Z,"An amazing job opportunity has arisen for a committed Registered Mental Health Nurse to work in an exceptional hospital setting based in the Dewsbury, West Yorkshire area. You will be working for one of UK's leading health care providers This hospital provides a specialist inpatient service for adults and older age males with severe and enduring mental health conditions, who may also have an undiagnosed memory related illness. Our client also provides a specialist neuro-cognitive and dementia c…",https://www.adzuna.co.uk/jobs/details/5221305485?utm_medium=api&utm_source=3aea9429,32800,35100
5220824280,Business Administrator,United Living Group,"Salford, Greater Manchester",2025-05-28T21:54:29Z,"Job Description To provide the day to day administration support to the regional teams in support of the business plan. We are looking for someone to start ASAP. Specific Responsibilities Ensure that United Living HSE&Q standards, operating processes, company policies and all legislative requirements are understood, implemented and adhered to at all times. Learn and understand the United Way of working ensuring that the processes are complied with and adopted into your daily disciplines. Provid…",https://www.adzuna.co.uk/jobs/details/5220824280?utm_medium=api&utm_source=3aea9429,33641.04,33641.04
4444945166,Art Teacher - Great School - Ipswich,Wayman Group,"Ipswich, Suffolk",2023-11-21T13:46:30Z,Art Teacher required to work on a full-time position Art Teacher required to work within a Great School in Suffolk Art Teacher to join a highly successful and well-resourced department Wayman Education is looking for a Art Teacher to work within a prestigious mixed school in Ipswich. The successful Art Teacher will be expected to teach at KS3 & KS4. The department is well resourced and boasts a friendly and supportive head of department. This is a fantastic opportunity to join a highly successf…,https://www.adzuna.co.uk/jobs/details/4444945166?utm_medium=api&utm_source=3aea9429,30000,46525
5215131204,Freelance Consulting Expert - AI Tutor (Talent pool),Mindrift,UK,2025-05-25T00:29:36Z,"The position may not be available immediately after you apply, but we encourage you to upload your CV if you're interested in participating. We have exciting projects coming soon with plenty of tasks, and we want to stay in touch with you. Once the role becomes available and you meet the criteria, you will be our priority candidate to join the project among the first, and we will reach out to you as soon as possible. About the Company At Mindrift , innovation meets opportunity. We believe in us…",https://www.adzuna.co.uk/jobs/details/5215131204?utm_medium=api&utm_source=3aea9429,59092.5,59092.5
